observation_id,site_id,habitat_type,habitat_code,season,site_area_ha,restoration_age_yrs,distance_to_remnant_km,species_richness,total_abundance,shannon_index,simpson_index,evenness_J,coleoptera_count,hymenoptera_count,diptera_count,lepidoptera_count,hemiptera_count,other_orders_count,native_species,nonnative_species,prop_native,pollinator_abundance,predator_abundance,temp_celsius,humidity_pct,wind_speed_kmh,vegetation_height_cm
REST_01_Spring,REST_01,Restored_Prairie,1,Spring,5.2,14.0,1.9,47,192,3.146,0.874,0.604,30,42,69,7,2,42,35,12,0.761,32,34,28.9,77.2,11.7,28.7
REST_01_Early_Summer,REST_01,Restored_Prairie,1,Early_Summer,5.2,14.0,1.9,50,208,3.321,0.854,0.724,44,33,34,7,15,75,27,23,0.545,36,35,32.7,75.9,10.0,27.1
REST_01_Late_Summer,REST_01,Restored_Prairie,1,Late_Summer,5.2,14.0,1.9,41,203,2.981,0.721,0.712,22,33,77,42,25,4,26,15,0.643,43,29,18.9,75.8,3.5,31.6
REST_01_Fall,REST_01,Restored_Prairie,1,Fall,5.2,14.0,1.9,61,200,1.997,0.731,0.99,49,27,52,48,10,14,41,20,0.68,64,39,26.4,81.4,11.6,51.2
CTRL_01_Spring,CTRL_01,Control_Grassland,0,Spring,6.4,,3.2,56,184,3.193,0.88,0.574,14,42,47,17,22,42,35,21,0.628,56,20,35.2,42.4,6.2,43.3
CTRL_01_Early_Summer,CTRL_01,Control_Grassland,0,Early_Summer,6.4,,3.2,36,199,3.406,0.771,0.722,41,19,41,25,12,61,22,14,0.617,35,25,28.5,44.1,4.9,66.0
CTRL_01_Late_Summer,CTRL_01,Control_Grassland,0,Late_Summer,6.4,,3.2,56,205,2.551,0.836,0.699,45,19,33,1,80,27,42,14,0.765,56,31,23.7,82.6,5.4,38.0
CTRL_01_Fall,CTRL_01,Control_Grassland,0,Fall,6.4,,3.2,46,184,3.205,0.832,0.858,38,47,38,36,11,14,18,28,0.4,59,28,20.0,93.0,9.4,18.5
REST_02_Spring,REST_02,Restored_Prairie,1,Spring,4.0,16.0,8.9,45,180,3.089,0.825,0.777,37,59,19,17,26,22,35,10,0.784,56,35,20.7,70.7,11.4,5.0
REST_02_Early_Summer,REST_02,Restored_Prairie,1,Early_Summer,4.0,16.0,8.9,48,246,3.995,0.851,0.867,60,45,15,5,52,69,30,18,0.627,39,42,7.0,53.7,6.7,40.5
REST_02_Late_Summer,REST_02,Restored_Prairie,1,Late_Summer,4.0,16.0,8.9,39,186,2.055,0.836,0.723,63,37,10,9,62,5,24,15,0.629,55,20,28.6,67.7,4.0,25.8
REST_02_Fall,REST_02,Restored_Prairie,1,Fall,4.0,16.0,8.9,34,193,2.455,0.677,0.796,24,65,31,24,30,19,24,10,0.721,54,29,25.5,50.8,8.1,62.7
CTRL_02_Spring,CTRL_02,Control_Grassland,0,Spring,11.9,,2.2,32,203,3.417,0.942,0.704,54,35,55,9,13,37,20,12,0.636,46,17,25.9,60.3,2.8,47.0
CTRL_02_Early_Summer,CTRL_02,Control_Grassland,0,Early_Summer,11.9,,2.2,39,234,2.902,0.949,0.72,50,96,34,0,37,17,28,11,0.719,52,36,20.2,59.7,12.8,30.9
CTRL_02_Late_Summer,CTRL_02,Control_Grassland,0,Late_Summer,11.9,,2.2,43,181,3.336,0.806,0.961,56,15,47,28,18,17,29,14,0.695,46,25,31.7,71.5,4.2,47.6
CTRL_02_Fall,CTRL_02,Control_Grassland,0,Fall,11.9,,2.2,51,201,3.41,0.784,0.691,84,22,53,24,11,7,33,18,0.665,47,29,22.2,54.9,9.0,50.5
REST_03_Spring,REST_03,Restored_Prairie,1,Spring,4.0,16.0,4.2,45,196,3.469,0.772,0.601,21,70,34,8,17,46,37,8,0.844,37,19,20.8,73.0,15.2,38.9
REST_03_Early_Summer,REST_03,Restored_Prairie,1,Early_Summer,4.0,16.0,4.2,46,214,3.534,0.772,0.654,41,39,45,60,21,8,31,15,0.682,56,19,12.2,75.3,3.1,42.0
REST_03_Late_Summer,REST_03,Restored_Prairie,1,Late_Summer,4.0,16.0,4.2,33,219,2.749,0.857,0.727,27,82,9,10,53,38,22,11,0.691,38,20,28.4,82.5,2.8,61.2
REST_03_Fall,REST_03,Restored_Prairie,1,Fall,4.0,16.0,4.2,51,188,2.991,0.794,0.712,46,76,36,15,6,9,33,18,0.66,56,22,16.6,81.9,11.5,39.5
CTRL_03_Spring,CTRL_03,Control_Grassland,0,Spring,9.5,,1.9,38,186,2.133,0.785,0.804,49,36,34,3,45,19,26,12,0.685,50,22,26.7,69.0,5.2,46.2
CTRL_03_Early_Summer,CTRL_03,Control_Grassland,0,Early_Summer,9.5,,1.9,42,172,2.569,0.754,0.627,81,23,22,17,8,21,26,16,0.621,52,16,12.4,83.6,10.7,28.0
CTRL_03_Late_Summer,CTRL_03,Control_Grassland,0,Late_Summer,9.5,,1.9,35,197,2.761,0.759,0.785,15,27,15,5,86,49,29,6,0.84,33,31,26.2,69.5,11.6,43.0
CTRL_03_Fall,CTRL_03,Control_Grassland,0,Fall,9.5,,1.9,47,192,2.503,0.75,0.872,78,14,36,12,30,22,38,9,0.809,50,17,21.2,85.3,13.0,85.7
REST_04_Spring,REST_04,Restored_Prairie,1,Spring,10.9,7.0,4.6,33,199,2.901,0.99,0.74,19,94,35,16,18,17,27,6,0.846,44,28,19.2,100.2,10.8,5.0
REST_04_Early_Summer,REST_04,Restored_Prairie,1,Early_Summer,10.9,7.0,4.6,53,202,2.781,0.846,0.666,66,45,11,9,49,22,30,23,0.57,62,20,20.2,59.5,2.9,75.5
REST_04_Late_Summer,REST_04,Restored_Prairie,1,Late_Summer,10.9,7.0,4.6,39,213,3.119,0.906,0.875,34,37,50,36,30,26,30,9,0.794,55,37,24.9,54.2,8.7,70.4
REST_04_Fall,REST_04,Restored_Prairie,1,Fall,10.9,7.0,4.6,53,217,2.979,0.765,0.765,26,57,50,43,8,33,37,16,0.715,60,34,22.9,52.0,4.2,76.2
CTRL_04_Spring,CTRL_04,Control_Grassland,0,Spring,9.3,,2.2,40,185,2.586,0.79,0.633,82,33,15,7,29,19,26,14,0.669,61,32,18.2,78.5,4.2,24.1
CTRL_04_Early_Summer,CTRL_04,Control_Grassland,0,Early_Summer,9.3,,2.2,59,196,2.41,0.839,0.613,22,60,25,1,59,29,46,13,0.793,34,33,18.4,80.6,3.9,16.6
CTRL_04_Late_Summer,CTRL_04,Control_Grassland,0,Late_Summer,9.3,,2.2,47,218,2.786,0.979,0.837,61,46,42,61,5,3,34,13,0.739,35,25,18.7,56.0,11.1,14.9
CTRL_04_Fall,CTRL_04,Control_Grassland,0,Fall,9.3,,2.2,46,220,2.886,0.865,0.796,48,42,49,3,14,64,37,9,0.825,47,38,20.4,47.5,3.1,23.7
REST_05_Spring,REST_05,Restored_Prairie,1,Spring,12.7,15.0,2.2,45,157,2.412,0.808,0.846,46,20,16,32,10,33,24,21,0.547,34,26,9.2,73.7,6.3,10.1
REST_05_Early_Summer,REST_05,Restored_Prairie,1,Early_Summer,12.7,15.0,2.2,28,183,1.95,0.704,0.512,25,46,15,39,36,22,22,6,0.82,44,34,24.6,64.7,4.8,58.8
REST_05_Late_Summer,REST_05,Restored_Prairie,1,Late_Summer,12.7,15.0,2.2,41,167,1.419,0.744,0.692,5,29,31,24,63,15,23,18,0.579,49,16,26.1,63.3,18.3,65.8
REST_05_Fall,REST_05,Restored_Prairie,1,Fall,12.7,15.0,2.2,37,150,1.465,0.789,0.757,49,16,14,25,8,38,20,17,0.548,24,23,7.1,52.9,7.9,69.0
CTRL_05_Spring,CTRL_05,Control_Grassland,0,Spring,3.5,,2.8,39,189,2.868,0.916,0.693,36,68,6,21,16,42,34,5,0.894,41,31,17.4,68.1,7.3,19.5
CTRL_05_Early_Summer,CTRL_05,Control_Grassland,0,Early_Summer,3.5,,2.8,48,183,2.967,0.981,0.827,17,18,51,67,12,18,45,3,0.95,51,17,24.3,66.4,5.6,39.9
CTRL_05_Late_Summer,CTRL_05,Control_Grassland,0,Late_Summer,3.5,,2.8,63,196,2.792,0.844,0.888,53,27,24,32,30,30,44,19,0.709,45,31,32.1,77.5,11.5,86.5
CTRL_05_Fall,CTRL_05,Control_Grassland,0,Fall,3.5,,2.8,37,197,2.61,0.928,0.687,32,34,45,7,2,77,27,10,0.735,64,34,29.4,70.7,11.5,57.3
REST_06_Spring,REST_06,Restored_Prairie,1,Spring,2.1,6.0,7.0,50,221,2.833,0.951,0.702,58,21,25,44,7,66,27,23,0.558,48,37,21.8,88.4,8.6,33.4
REST_06_Early_Summer,REST_06,Restored_Prairie,1,Early_Summer,2.1,6.0,7.0,55,203,3.14,0.882,0.668,70,20,81,14,2,16,38,17,0.699,68,25,21.2,86.4,13.2,43.7
REST_06_Late_Summer,REST_06,Restored_Prairie,1,Late_Summer,2.1,6.0,7.0,51,198,3.171,0.877,0.99,82,18,11,33,30,24,36,15,0.709,51,22,26.2,70.6,16.1,19.9
REST_06_Fall,REST_06,Restored_Prairie,1,Fall,2.1,6.0,7.0,60,194,2.653,0.86,0.983,17,17,63,33,38,26,24,36,0.4,33,17,26.9,73.7,9.3,35.1
CTRL_06_Spring,CTRL_06,Control_Grassland,0,Spring,5.2,,6.7,39,190,3.254,0.803,0.767,39,16,20,27,66,22,31,8,0.803,45,35,33.8,76.7,7.0,53.3
CTRL_06_Early_Summer,CTRL_06,Control_Grassland,0,Early_Summer,5.2,,6.7,41,197,2.791,0.857,0.61,57,4,76,5,21,34,25,16,0.632,61,16,15.6,79.2,3.2,29.1
CTRL_06_Late_Summer,CTRL_06,Control_Grassland,0,Late_Summer,5.2,,6.7,50,196,2.502,0.751,0.557,86,54,38,3,4,11,38,12,0.778,37,38,15.4,64.7,11.5,49.0
CTRL_06_Fall,CTRL_06,Control_Grassland,0,Fall,5.2,,6.7,40,187,2.334,0.879,0.718,58,23,2,38,62,4,25,15,0.645,44,33,19.2,78.4,1.8,39.0
REST_07_Spring,REST_07,Restored_Prairie,1,Spring,3.0,12.0,1.8,54,185,2.309,0.665,0.832,51,38,35,30,7,24,38,16,0.708,28,28,21.6,73.9,14.9,63.6
REST_07_Early_Summer,REST_07,Restored_Prairie,1,Early_Summer,3.0,12.0,1.8,47,181,2.39,0.714,0.889,19,82,10,30,2,38,26,21,0.574,32,34,21.5,57.5,10.1,47.6
REST_07_Late_Summer,REST_07,Restored_Prairie,1,Late_Summer,3.0,12.0,1.8,36,200,2.731,0.94,0.597,33,57,20,15,35,40,30,6,0.861,47,28,19.2,52.6,2.7,15.3
REST_07_Fall,REST_07,Restored_Prairie,1,Fall,3.0,12.0,1.8,28,201,1.545,0.858,0.733,36,20,28,53,8,56,19,9,0.697,40,27,21.3,51.9,5.4,36.8
CTRL_07_Spring,CTRL_07,Control_Grassland,0,Spring,4.8,,9.7,44,230,2.447,0.853,0.711,88,34,23,30,10,45,38,6,0.867,65,35,30.8,78.1,8.1,18.2
CTRL_07_Early_Summer,CTRL_07,Control_Grassland,0,Early_Summer,4.8,,9.7,37,223,3.426,0.879,0.539,18,48,70,4,45,38,27,10,0.736,54,37,24.4,100.7,9.1,60.9
CTRL_07_Late_Summer,CTRL_07,Control_Grassland,0,Late_Summer,4.8,,9.7,59,220,3.058,0.908,0.75,48,53,46,13,28,32,33,26,0.563,44,23,17.5,63.0,14.0,40.2
CTRL_07_Fall,CTRL_07,Control_Grassland,0,Fall,4.8,,9.7,44,195,2.522,0.804,0.9,14,59,30,15,51,26,25,19,0.586,57,16,24.7,67.1,11.8,21.9
REST_08_Spring,REST_08,Restored_Prairie,1,Spring,13.2,14.0,1.9,55,189,2.632,0.879,0.653,40,11,34,41,17,46,38,17,0.694,32,36,25.4,66.9,2.9,35.9
REST_08_Early_Summer,REST_08,Restored_Prairie,1,Early_Summer,13.2,14.0,1.9,52,197,3.173,0.908,0.707,59,48,16,17,26,31,40,12,0.777,38,31,16.1,66.3,8.7,57.6
REST_08_Late_Summer,REST_08,Restored_Prairie,1,Late_Summer,13.2,14.0,1.9,50,227,3.047,0.924,0.617,48,59,17,27,58,18,39,11,0.797,64,27,25.5,59.9,3.5,45.0
REST_08_Fall,REST_08,Restored_Prairie,1,Fall,13.2,14.0,1.9,29,214,2.591,0.99,0.83,19,54,78,1,47,15,12,17,0.424,33,40,22.4,54.2,17.7,31.8
CTRL_08_Spring,CTRL_08,Control_Grassland,0,Spring,14.9,,9.8,34,197,1.927,0.952,0.876,32,32,37,20,67,9,26,8,0.79,56,24,29.6,39.2,15.7,60.2
CTRL_08_Early_Summer,CTRL_08,Control_Grassland,0,Early_Summer,14.9,,9.8,56,212,2.887,0.854,0.555,73,48,6,35,14,36,41,15,0.738,67,24,22.7,84.2,6.3,37.4
CTRL_08_Late_Summer,CTRL_08,Control_Grassland,0,Late_Summer,14.9,,9.8,63,189,2.899,0.834,0.611,89,37,4,2,51,6,43,20,0.692,59,22,7.5,60.8,3.7,54.5
CTRL_08_Fall,CTRL_08,Control_Grassland,0,Fall,14.9,,9.8,40,191,2.702,0.873,0.768,95,14,6,21,31,24,28,12,0.718,34,36,24.7,48.9,10.2,13.6
REST_09_Spring,REST_09,Restored_Prairie,1,Spring,2.9,15.0,3.9,41,188,2.812,0.871,0.747,96,25,17,33,13,4,28,13,0.697,30,32,23.3,56.5,11.9,55.5
REST_09_Early_Summer,REST_09,Restored_Prairie,1,Early_Summer,2.9,15.0,3.9,34,205,3.431,0.95,0.607,24,28,43,20,50,40,29,5,0.876,69,36,17.3,78.2,0.9,12.1
REST_09_Late_Summer,REST_09,Restored_Prairie,1,Late_Summer,2.9,15.0,3.9,49,170,2.936,0.758,0.701,26,24,62,22,21,15,39,10,0.797,28,20,25.4,59.4,7.4,20.3
REST_09_Fall,REST_09,Restored_Prairie,1,Fall,2.9,15.0,3.9,43,191,2.807,0.751,0.679,61,17,17,20,26,50,34,9,0.8,30,15,26.6,52.2,6.2,31.9
CTRL_09_Spring,CTRL_09,Control_Grassland,0,Spring,11.5,,5.8,41,210,2.072,0.699,0.897,75,50,16,16,24,29,25,16,0.613,50,22,19.9,68.6,7.6,37.2
CTRL_09_Early_Summer,CTRL_09,Control_Grassland,0,Early_Summer,11.5,,5.8,51,211,3.295,0.843,0.75,44,67,40,6,5,49,33,18,0.653,71,41,18.5,57.0,7.6,60.1
CTRL_09_Late_Summer,CTRL_09,Control_Grassland,0,Late_Summer,11.5,,5.8,61,210,2.542,0.817,0.971,49,14,48,35,2,62,49,12,0.805,39,37,21.9,71.8,7.4,41.2
CTRL_09_Fall,CTRL_09,Control_Grassland,0,Fall,11.5,,5.8,46,215,2.848,0.99,0.842,76,6,70,12,38,13,24,22,0.523,44,24,22.5,54.3,12.0,13.9
REST_10_Spring,REST_10,Restored_Prairie,1,Spring,14.3,7.0,0.6,40,203,2.708,0.922,0.681,48,41,26,29,45,14,28,12,0.717,48,24,17.1,67.8,8.7,57.5
REST_10_Early_Summer,REST_10,Restored_Prairie,1,Early_Summer,14.3,7.0,0.6,47,211,3.546,0.915,0.716,40,60,4,20,66,21,33,14,0.721,70,21,25.3,34.6,6.1,42.2
REST_10_Late_Summer,REST_10,Restored_Prairie,1,Late_Summer,14.3,7.0,0.6,51,196,2.747,0.932,0.907,24,37,40,48,11,36,34,17,0.674,52,20,26.9,56.8,2.7,43.0
REST_10_Fall,REST_10,Restored_Prairie,1,Fall,14.3,7.0,0.6,41,225,2.858,0.99,0.609,17,123,15,46,18,6,27,14,0.682,75,33,27.7,44.5,14.7,43.5
CTRL_10_Spring,CTRL_10,Control_Grassland,0,Spring,13.1,,0.9,41,207,3.153,0.929,0.577,51,39,12,40,55,10,24,17,0.59,54,40,21.0,84.1,8.9,71.2
CTRL_10_Early_Summer,CTRL_10,Control_Grassland,0,Early_Summer,13.1,,0.9,50,222,2.915,0.939,0.631,100,45,16,21,31,9,29,21,0.594,46,42,16.2,60.4,4.9,56.3
CTRL_10_Late_Summer,CTRL_10,Control_Grassland,0,Late_Summer,13.1,,0.9,49,237,3.166,0.85,0.533,115,25,10,13,32,42,42,7,0.872,77,19,11.2,30.2,1.3,45.0
CTRL_10_Fall,CTRL_10,Control_Grassland,0,Fall,13.1,,0.9,52,196,3.09,0.913,0.567,58,25,11,13,64,25,37,15,0.726,57,26,14.3,62.6,8.4,38.8
